"Componente","Año","Estado","Municipio","Localidad","Registradas","Apoyadas"
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EL SAUZAL",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EL SAUZAL",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EL SAUZAL",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","ENSENADA",33,14
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","ENSENADA",27,4
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","ENSENADA",5,2
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","ENSENADA",4,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","FRACCIONAMIENTO LOMA BONITA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","FRACCIONAMIENTO LOMA BONITA",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","FRACCIONAMIENTO LOMA BONITA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","FRACCIONAMIENTO LOMA BONITA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","GUAYAQUIL",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","GUAYAQUIL",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","GUAYAQUIL",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","GUAYAQUIL",1,1
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","LA MISION",2,1
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","LA MISION",2,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","LA MISION",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","LA MISION",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","LOCALIDAD SIN NOMBRE",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","LOCALIDAD SIN NOMBRE",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","LOCALIDAD SIN NOMBRE",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","LOCALIDAD SIN NOMBRE",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","MOLINO VIEJO",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","MOLINO VIEJO",1,1
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","MOLINO VIEJO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","MOLINO VIEJO",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","RIO ESCONDIDO",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","RIO ESCONDIDO",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","RIO ESCONDIDO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","RIO ESCONDIDO",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","RODOLFO SANCHEZ T. (MANEADERO)",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","RODOLFO SANCHEZ T. (MANEADERO)",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","RODOLFO SANCHEZ T. (MANEADERO)",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","RODOLFO SANCHEZ T. (MANEADERO)",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","SAN QUINTIN",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","SAN QUINTIN",2,1
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","SAN QUINTIN",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","SAN QUINTIN",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","SANTA ROSALIITA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","SANTA ROSALIITA",8,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","SANTA ROSALIITA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","SANTA ROSALIITA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","URUAPAN",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","URUAPAN",6,2
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","URUAPAN",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","URUAPAN",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","VICENTE GUERRERO",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","VICENTE GUERRERO",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","VICENTE GUERRERO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","VICENTE GUERRERO",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","CIUDAD COAHUILA (KM. 57)",6,6
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","CIUDAD COAHUILA (KM. 57)",0,0
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","CIUDAD COAHUILA (KM. 57)",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","CIUDAD COAHUILA (KM. 57)",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA LEONA VICARIO",2,1
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA LEONA VICARIO",0,0
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA LEONA VICARIO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA LEONA VICARIO",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA NUEVA",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA NUEVA",5,5
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA NUEVA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","COLONIA NUEVA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","COMUNIDAD INDIGENA CUCAPAH EL MAYOR",16,11
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","COMUNIDAD INDIGENA CUCAPAH EL MAYOR",0,0
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","COMUNIDAD INDIGENA CUCAPAH EL MAYOR",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","COMUNIDAD INDIGENA CUCAPAH EL MAYOR",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI",,10,6
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI",,0,0
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI",,0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI",,0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","EJIDO CUCAPAH INDIGENA",4,1
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","EJIDO CUCAPAH INDIGENA",0,0
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","EJIDO CUCAPAH INDIGENA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","EJIDO CUCAPAH INDIGENA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","MEXICALI",20,15
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","MEXICALI",10,9
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","MEXICALI",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","MEXICALI",0,0
"MOTOR",2014,"BAJA CALIFORNIA","MEXICALI","SAN FELIPE",67,19
"EMBARCACION",2014,"BAJA CALIFORNIA","MEXICALI","SAN FELIPE",78,17
"HIELERA",2014,"BAJA CALIFORNIA","MEXICALI","SAN FELIPE",6,0
"SISTEMA",2014,"BAJA CALIFORNIA","MEXICALI","SAN FELIPE",20,2
"MOTOR",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",1,0
"HIELERA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",1,0
"SISTEMA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","AMPLIACION EJIDO PLAN LIBERTADOR",0,0
"MOTOR",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",0,0
"HIELERA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",0,0
"MOTOR",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","EL MORRO",2,0
"MOTOR",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",0,0
"HIELERA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PLAYAS LA MISION",0,0
"MOTOR",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","POPOTLA",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","POPOTLA",1,0
"HIELERA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","POPOTLA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","POPOTLA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",0,0
"HIELERA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","PLAYAS DE ROSARITO","PRIMO TAPIA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","TIJUANA","TIJUANA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","TIJUANA","TIJUANA",0,0
"HIELERA",2014,"BAJA CALIFORNIA","TIJUANA","TIJUANA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","TIJUANA","TIJUANA",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","CABO SAN LAZARO",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","CABO SAN LAZARO",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","CABO SAN LAZARO",1,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","CABO SAN LAZARO",1,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","CADEJE",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","CADEJE",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","CADEJE",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","CADEJE",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD CONSTITUCION",17,2
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD CONSTITUCION",6,1
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD CONSTITUCION",1,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD CONSTITUCION",1,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD INSURGENTES",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD INSURGENTES",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD INSURGENTES",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD INSURGENTES",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CHICHARRON",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CHICHARRON",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CHICHARRON",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CHICHARRON",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CORRALITO",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CORRALITO",1,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CORRALITO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CORRALITO",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","EL DATIL",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","EL DATIL",1,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL DATIL",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL DATIL",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","EL PORVENIR",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","EL PORVENIR",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL PORVENIR",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL PORVENIR",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","EL VOLCAN",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","EL VOLCAN",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL VOLCAN",11,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL VOLCAN",11,1
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","JOSEFA ORTIZ DE DOMINGUEZ",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","JOSEFA ORTIZ DE DOMINGUEZ",2,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","JOSEFA ORTIZ DE DOMINGUEZ",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","JOSEFA ORTIZ DE DOMINGUEZ",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","LA BARRITA",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","LA BARRITA",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA BARRITA",2,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA BARRITA",2,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","LA LAGUNA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","LA LAGUNA",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA LAGUNA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA LAGUNA",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","LA POZA GRANDE",5,1
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","LA POZA GRANDE",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA POZA GRANDE",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA POZA GRANDE",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","LA PURISIMA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","LA PURISIMA",1,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA PURISIMA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA PURISIMA",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","LA VIRGENCITA",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","LA VIRGENCITA",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA VIRGENCITA",1,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA VIRGENCITA",1,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","LAS BARRANCAS",16,4
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","LAS BARRANCAS",9,1
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","LAS BARRANCAS",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","LAS BARRANCAS",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","MARIA AUXILIADORA",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","MARIA AUXILIADORA",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","MARIA AUXILIADORA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","MARIA AUXILIADORA",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ADOLFO LOPEZ MATEOS",26,6
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ADOLFO LOPEZ MATEOS",4,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ADOLFO LOPEZ MATEOS",1,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ADOLFO LOPEZ MATEOS",1,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ALCATRAZ",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ALCATRAZ",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ALCATRAZ",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ALCATRAZ",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO CANCUN",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO CANCUN",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO CANCUN",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO CANCUN",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO MAGDALENA",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO MAGDALENA",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO MAGDALENA",5,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO MAGDALENA",5,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO SAN CARLOS",106,18
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO SAN CARLOS",39,2
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO SAN CARLOS",7,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO SAN CARLOS",7,1
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","PUNTA ARENAS",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","PUNTA ARENAS",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUNTA ARENAS",10,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUNTA ARENAS",9,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","RANCHO LAS GLORIAS",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","RANCHO LAS GLORIAS",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","RANCHO LAS GLORIAS",1,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","RANCHO LAS GLORIAS",1,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN BUTO",2,1
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN BUTO",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN BUTO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN BUTO",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN JUANICO",10,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN JUANICO",5,1
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN JUANICO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","SAN JUANICO",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTA MARIA",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTA MARIA",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTA MARIA",1,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTA MARIA",1,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTO DOMINGO VIEJO",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTO DOMINGO VIEJO",0,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTO DOMINGO VIEJO",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","SANTO DOMINGO VIEJO",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","COMONDU","VILLA MORELOS",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","COMONDU","VILLA MORELOS",1,0
"HIELERA",2014,"BAJA CALIFORNIA SUR","COMONDU","VILLA MORELOS",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","COMONDU","VILLA MORELOS",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ.",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ.",1,1
"HIELERA",2014,"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ.",0,0
"SISTEMA",2014,"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ.",0,0
"MOTOR",2014,"BAJA CALIFORNIA SUR","LA PAZ","A DONDE",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA SUR","LA PAZ","A DONDE",0,0
